SequenceID	MarkerGene	mOTU	mOTU linkage Group Name
MH0050_revised_scaffold7756_2_gene23696	COG0495	COG0495.OTUcal.v2.879	motu_linkage_group_370
MH0009_revised_scaffold12763_3_gene56259	COG0012	COG0012.OTUcal.v2.2064	-
443144.GM21_0089	COG0172	COG0172.OTUcal.v2.86	-
483218.BACPEC_01973	COG0018	COG0018.OTUcal.v2.78	motu_linkage_group_162
762982.HMPREF9442_01485	COG0018	COG0018.OTUcal.v2.617	motu_linkage_group_265
859194.MHF_0038	COG0552	COG0552.OTUcal.v2.923	-
326298.Suden_0737	COG0525	COG0525.OTUcal.v2.1672	-
629266.PSYAC_01537	COG0215	COG0215.OTUcal.v2.348	-
V1.UC19-0_revised_scaffold26251_4_gene2856	COG0012	COG0012.OTUcal.v2.1833	motu_linkage_group_240
326424.FRAAL5211	COG0016	COG0016.OTUcal.v2.265	-
159207311-stool1_revised_scaffold26582_3_gene15817	COG0215	COG0215.OTUcal.v2.1769	motu_linkage_group_103
395495.Lcho_1670	COG0215	COG0215.OTUcal.v2.1051	-
590998.Celf_2912	COG0012	COG0012.OTUcal.v2.1185	-
764062976-stool2_revised_scaffold47299_5_gene22089	COG0172	COG0172.OTUcal.v2.1709	-
190486.XAC2354	COG0215	COG0215.OTUcal.v2.940	-
362242.MUL_4156	COG0215	COG0215.OTUcal.v2.439	-
334413.FMG_0101	COG0172	COG0172.OTUcal.v2.460	-
585538.HMPREF0462_1463	COG0172	COG0172.OTUcal.v2.1279	-
552526.Sez_1482	COG0525	COG0525.OTUcal.v2.1701	-
395495.Lcho_1493	COG0533	COG0533.OTUcal.v2.1056	-
862719.AZOLI_1401	COG0172	COG0172.OTUcal.v2.667	-
675815.VOA_002182	COG0215	COG0215.OTUcal.v2.1	-
159207311-stool1_revised_C1139146_1_gene8452	COG0016	COG0016.OTUcal.v2.1768	motu_linkage_group_103
159814214-stool2_revised_scaffold25254_1_gene30319	COG0172	COG0172.OTUcal.v2.1719	motu_linkage_group_103
MH0012_revised_scaffold55328_22_gene56749	COG0018	COG0018.OTUcal.v2.1764	motu_linkage_group_310
234831.PSM_A0632	COG0525	COG0525.OTUcal.v2.904	-
158256496-stool1_revised_C987083_1_gene103609	COG0533	COG0533.OTUcal.v2.2009	-
691338.CSU_1550	COG0525	COG0525.OTUcal.v2.1270	-
698968.CDHC02_1853	COG0215	COG0215.OTUcal.v2.1264	-
160400887-stool1_revised_scaffold33810_2_gene226424	COG0541	COG0541.OTUcal.v2.1817	motu_linkage_group_306
MH0053_revised_scaffold22945_11_gene41537	COG0533	COG0533.OTUcal.v2.1872	motu_linkage_group_226
585034.ECIAI1_4489	COG0525	COG0525.OTUcal.v2.891	motu_linkage_group_607
MH0075_revised_scaffold47006_1_gene14375	COG0215	COG0215.OTUcal.v2.1066	motu_linkage_group_396
469590.BSCG_01936	COG0525	COG0525.OTUcal.v2.182	motu_linkage_group_281
875330.PsgRace4_05633	COG0018	COG0018.OTUcal.v2.742	-
MH0006_revised_scaffold59164_9_gene104848	COG0215	COG0215.OTUcal.v2.1992	motu_linkage_group_389
347256.MHO_3950	COG0533	COG0533.OTUcal.v2.738	-
763496533-stool1_revised_scaffold3978_2_gene37428	COG0215	COG0215.OTUcal.v2.1760	motu_linkage_group_258
589924.Ferp_0163	COG0525	COG0525.OTUcal.v2.1003	-
234831.PSM_A1329	COG0172	COG0172.OTUcal.v2.893	-
763678604-stool1_revised_scaffold60936_2_gene41315	COG0552	COG0552.OTUcal.v2.1605	motu_linkage_group_119
158256496-stool1_revised_C987233_1_gene178921	COG0016	COG0016.OTUcal.v2.1741	motu_linkage_group_394
MH0038_revised_scaffold45043_2_gene24431	COG0533	COG0533.OTUcal.v2.1981	motu_linkage_group_72
MH0012_revised_scaffold101624_3_gene168514	COG0012	COG0012.OTUcal.v2.2082	-
MH0077_revised_scaffold11631_5_gene65244	COG0525	COG0525.OTUcal.v2.866	motu_linkage_group_170
629261.PSYMO_39175	COG0541	COG0541.OTUcal.v2.1697	-
567106.CJSA_1144	COG0552	COG0552.OTUcal.v2.1703	-
823052294-stool1_revised_scaffold141_2_gene11401	COG0172	COG0172.OTUcal.v2.1538	motu_linkage_group_352
479833.CdifQCD-_020200013146	COG0012	COG0012.OTUcal.v2.1331	-
1030843.PGTDC60_1100	COG0541	COG0541.OTUcal.v2.309	-
585155.SAUG_01165	COG0495	COG0495.OTUcal.v2.1342	-
MH0014_revised_scaffold903_16_gene45940	COG0495	COG0495.OTUcal.v2.940	motu_linkage_group_607
331111.EcE24377A_0668	COG0495	COG0495.OTUcal.v2.940	motu_linkage_group_607
525255.HMPREF0077_1478	COG0533	COG0533.OTUcal.v2.1135	-
159611913-stool2_revised_scaffold3154_2_gene21375	COG0552	COG0552.OTUcal.v2.841	motu_linkage_group_178
158479027-stool1_revised_C773061_1_gene41422	COG0172	COG0172.OTUcal.v2.1688	motu_linkage_group_437
869727.hp908_1148	COG0541	COG0541.OTUcal.v2.1714	-
160603188-stool1_revised_scaffold16788_1_gene27724	COG0533	COG0533.OTUcal.v2.1601	motu_linkage_group_109
763496533-stool1_revised_C1293373_1_gene135835	COG0541	COG0541.OTUcal.v2.1783	motu_linkage_group_246
315730.BcerKBAB4_0084	COG0215	COG0215.OTUcal.v2.1640	-
MH0003_revised_scaffold37272_8_gene75168	COG0495	COG0495.OTUcal.v2.1828	motu_linkage_group_485
MH0077_revised_scaffold39304_6_gene74782	COG0525	COG0525.OTUcal.v2.828	motu_linkage_group_214
158802708-stool1_revised_scaffold38967_1_gene56185	COG0525	COG0525.OTUcal.v2.358	motu_linkage_group_100
159227541-stool3_revised_scaffold13072_1_gene41052	COG0016	COG0016.OTUcal.v2.1864	motu_linkage_group_385
764487809-stool1_revised_scaffold31366_1_gene205091	COG0552	COG0552.OTUcal.v2.13	motu_linkage_group_380
316058.RPB_0045	COG0016	COG0016.OTUcal.v2.419	-
866629.MLEA_001970	COG0016	COG0016.OTUcal.v2.1008	-
944564.HMPREF9200_1379	COG0018	COG0018.OTUcal.v2.969	-
886882.PPSC2_c0092	COG0172	COG0172.OTUcal.v2.937	-
517722.CJLT1_010100008248	COG0552	COG0552.OTUcal.v2.160	-
439842.SeKA_A0109	COG0495	COG0495.OTUcal.v2.94	-
478749.BRYFOR_08147	COG0215	COG0215.OTUcal.v2.341	-
234831.PSM_A1994	COG0495	COG0495.OTUcal.v2.910	-
O2.UC22-0_revised_scaffold17843_10_gene21588	COG0495	COG0495.OTUcal.v2.1542	motu_linkage_group_116
288000.BBta_0214	COG0016	COG0016.OTUcal.v2.1377	-
907287.MHP168_650	COG0215	COG0215.OTUcal.v2.682	-
669262.COK_1983	COG0172	COG0172.OTUcal.v2.1050	-
907287.MHP168_657	COG0495	COG0495.OTUcal.v2.692	-
669262.COK_1986	COG0495	COG0495.OTUcal.v2.1075	-
159571453-stool2_revised_C1200020_1_gene204678	COG0541	COG0541.OTUcal.v2.1788	motu_linkage_group_228
904749.SA21269_2311	COG0018	COG0018.OTUcal.v2.495	-
441772.CLI_2505	COG0541	COG0541.OTUcal.v2.553	-
944564.HMPREF9200_0398	COG0533	COG0533.OTUcal.v2.978	-
648999.ML5_3395	COG0525	COG0525.OTUcal.v2.1322	-
V1.CD4-0_revised_scaffold35900_3_gene31829	COG0018	COG0018.OTUcal.v2.1884	motu_linkage_group_295
351745.Sputw3181_3622	COG0018	COG0018.OTUcal.v2.855	-
1035184.HMPREF1042_0389	COG0525	COG0525.OTUcal.v2.607	-
159247771-stool2_revised_scaffold11172_1_gene79992	COG0018	COG0018.OTUcal.v2.1701	motu_linkage_group_341
641149.HMPREF9016_01727	COG0541	COG0541.OTUcal.v2.155	-
448385.sce7417	COG0495	COG0495.OTUcal.v2.540	-
483218.BACPEC_00311	COG0541	COG0541.OTUcal.v2.79	motu_linkage_group_162
498761.HM1_1797	COG0016	COG0016.OTUcal.v2.1682	-
159166850-stool1_revised_scaffold1772_1_gene70045	COG0552	COG0552.OTUcal.v2.1615	motu_linkage_group_109
442346.FTDG_00141	COG0018	COG0018.OTUcal.v2.1418	-
159814214-stool1_revised_scaffold23511_1_gene92097	COG0018	COG0018.OTUcal.v2.1798	motu_linkage_group_190
667014.Thein_0907	COG0525	COG0525.OTUcal.v2.1152	-
158802708-stool2_revised_C1043935_1_gene65665	COG0533	COG0533.OTUcal.v2.1868	motu_linkage_group_415
537973.LBPG_01819	COG0172	COG0172.OTUcal.v2.676	-
944564.HMPREF9200_0027	COG0495	COG0495.OTUcal.v2.986	-
272944.RC0928	COG0012	COG0012.OTUcal.v2.1060	-
702452.NT04LS_2404	COG0533	COG0533.OTUcal.v2.1556	-
V1.CD4-0_revised_scaffold8090_6_gene5817	COG0541	COG0541.OTUcal.v2.1206	motu_linkage_group_455
994476.YE105_C0510	COG0525	COG0525.OTUcal.v2.485	-
159611913-stool1_revised_scaffold3561_1_gene93476	COG0533	COG0533.OTUcal.v2.1506	motu_linkage_group_116
296591.Bpro_2106	COG0016	COG0016.OTUcal.v2.744	-
525256.HMPREF0091_10183	COG0172	COG0172.OTUcal.v2.966	-
712898.Pvag_3011	COG0552	COG0552.OTUcal.v2.1125	-
488538.SAR116_1476	COG0533	COG0533.OTUcal.v2.886	-
446470.Snas_2243	COG0541	COG0541.OTUcal.v2.272	-
283166.BH05180	COG0215	COG0215.OTUcal.v2.786	-
575584.HMPREF0010_00084	COG0533	COG0533.OTUcal.v2.1039	-
670899.ECRN5871_4256	COG0012	COG0012.OTUcal.v2.923	motu_linkage_group_607
866774.HMPREF9248_0659	COG0018	COG0018.OTUcal.v2.80	-
374463.BCI_0295	COG0012	COG0012.OTUcal.v2.1442	-
246515023-stool2_revised_scaffold395_2_gene14166	COG0215	COG0215.OTUcal.v2.1379	motu_linkage_group_299
870967.VIS19158_14284	COG0552	COG0552.OTUcal.v2.1460	-
O2.UC22-0_revised_scaffold39121_8_gene25136	COG0541	COG0541.OTUcal.v2.1794	motu_linkage_group_126
520449.BAKG_01052	COG0552	COG0552.OTUcal.v2.82	-
MH0006_revised_scaffold76984_3_gene78523	COG0016	COG0016.OTUcal.v2.2084	-
MH0086_revised_scaffold19344_7_gene82795	COG0172	COG0172.OTUcal.v2.1835	motu_linkage_group_334
331104.BLBBGE_372	COG0016	COG0016.OTUcal.v2.1121	-
59931.WH7805_10733	COG0018	COG0018.OTUcal.v2.1468	-
MH0016_revised_scaffold28211_3_gene438	COG0018	COG0018.OTUcal.v2.1764	motu_linkage_group_310
709797.CSIRO_0874	COG0016	COG0016.OTUcal.v2.1438	-
159571453-stool2_revised_C1196916_1_gene174407	COG0018	COG0018.OTUcal.v2.1748	motu_linkage_group_131
548480.HMPREF0175_0658	COG0016	COG0016.OTUcal.v2.117	motu_linkage_group_589
158458797-stool1_revised_C1334394_1_gene82609	COG0215	COG0215.OTUcal.v2.1776	motu_linkage_group_126
583356.Igag_1835	COG0525	COG0525.OTUcal.v2.865	-
MH0006_revised_scaffold20286_1_gene142393	COG0016	COG0016.OTUcal.v2.871	motu_linkage_group_370
MH0077_revised_scaffold59613_1_gene67256	COG0495	COG0495.OTUcal.v2.879	motu_linkage_group_370
MH0022_revised_scaffold37863_1_gene16185	COG0172	COG0172.OTUcal.v2.1814	-
439855.EcSMS35_1476	COG0016	COG0016.OTUcal.v2.929	motu_linkage_group_607
MH0031_revised_scaffold33591_1_gene5898	COG0525	COG0525.OTUcal.v2.1984	motu_linkage_group_230
MH0012_revised_scaffold17839_1_gene29438	COG0016	COG0016.OTUcal.v2.2006	motu_linkage_group_37
561231.Pecwa_0093	COG0552	COG0552.OTUcal.v2.1606	-
404239096-stool1_revised_scaffold24434_1_gene19250	COG0495	COG0495.OTUcal.v2.1228	motu_linkage_group_405
159207311-stool2_revised_scaffold38219_1_gene56626	COG0533	COG0533.OTUcal.v2.1832	motu_linkage_group_389
306537.jk0550	COG0525	COG0525.OTUcal.v2.1276	-
158499257-stool1_revised_scaffold32278_1_gene192648	COG0552	COG0552.OTUcal.v2.2009	motu_linkage_group_204
V1.UC13-0_revised_scaffold29358_2_gene9586	COG0172	COG0172.OTUcal.v2.1570	motu_linkage_group_119
644107.SL1157_0253	COG0012	COG0012.OTUcal.v2.986	-
749518.HMPREF9521_02299	COG0552	COG0552.OTUcal.v2.441	-
861967750-stool1_revised_scaffold43696_2_gene138191	COG0552	COG0552.OTUcal.v2.1772	motu_linkage_group_246
266834.SMc02073	COG0018	COG0018.OTUcal.v2.16	-
763577454-stool2_revised_scaffold34153_1_gene4340	COG0172	COG0172.OTUcal.v2.12	motu_linkage_group_380
930946.FfruK3_010100007458	COG0533	COG0533.OTUcal.v2.1038	-
681288.SAAV_0331	COG0012	COG0012.OTUcal.v2.1659	-
764143897-stool1_revised_scaffold19612_1_gene81687	COG0552	COG0552.OTUcal.v2.1829	motu_linkage_group_134
1045856.EcWSU1_03421	COG0541	COG0541.OTUcal.v2.395	-
595536.MettrDRAFT_0975	COG0172	COG0172.OTUcal.v2.1424	-
411470.RUMGNA_02861	COG0552	COG0552.OTUcal.v2.745	motu_linkage_group_639
907931.LfalK3_010100004242	COG0495	COG0495.OTUcal.v2.175	-
596312.HMPREF0569_1687	COG0215	COG0215.OTUcal.v2.1178	-
765701615-stool1_revised_scaffold16666_1_gene181933	COG0018	COG0018.OTUcal.v2.1737	motu_linkage_group_209
1000588.HMPREF9965_0186	COG0533	COG0533.OTUcal.v2.1209	-
158337416-stool1_revised_C1269738_1_gene154673	COG0541	COG0541.OTUcal.v2.2104	-
675820.VMA_000456	COG0541	COG0541.OTUcal.v2.1530	-
869816.SAA6159_01090	COG0541	COG0541.OTUcal.v2.1324	-
604812005-stool1_revised_scaffold10752_1_gene19166	COG0215	COG0215.OTUcal.v2.200	motu_linkage_group_311
763577454-stool2_revised_scaffold34698_1_gene128582	COG0018	COG0018.OTUcal.v2.2037	motu_linkage_group_165
944559.HMPREF9413_2817	COG0541	COG0541.OTUcal.v2.194	-
553601.SAQG_02167	COG0018	COG0018.OTUcal.v2.495	-
MH0002_revised_scaffold13206_1_gene32632	COG0012	COG0012.OTUcal.v2.1745	motu_linkage_group_140
V1.UC9-0_revised_scaffold74083_2_gene26279	COG0525	COG0525.OTUcal.v2.457	motu_linkage_group_155
640131.Kvar_1939	COG0012	COG0012.OTUcal.v2.1028	-
622637.Met49242DRAFT_1621	COG0495	COG0495.OTUcal.v2.593	-
1105107.RCA_01670	COG0012	COG0012.OTUcal.v2.1139	-
521097.Coch_2022	COG0215	COG0215.OTUcal.v2.599	-
V1.CD4-0_revised_scaffold2664_2_gene52853	COG0495	COG0495.OTUcal.v2.1850	motu_linkage_group_206
1000570.HMPREF9966_1017	COG0016	COG0016.OTUcal.v2.1231	-
1004836.SXCC_03024	COG0495	COG0495.OTUcal.v2.605	-
386415.NT01CX_1767	COG0016	COG0016.OTUcal.v2.588	-
1033802.SSPSH_18338	COG0533	COG0533.OTUcal.v2.1551	-
658172.CKC_04470	COG0525	COG0525.OTUcal.v2.163	-
V1.UC14-0_revised_scaffold2909_11_gene27639	COG0016	COG0016.OTUcal.v2.1730	motu_linkage_group_168
391587.KAOT1_16008	COG0016	COG0016.OTUcal.v2.248	-
552811.Dehly_1035	COG0525	COG0525.OTUcal.v2.945	-
525326.HMPREF0514_11946	COG0172	COG0172.OTUcal.v2.1385	-
763901136-stool1_revised_scaffold253_2_gene29895	COG0016	COG0016.OTUcal.v2.1865	-
500635.MITSMUL_04353	COG0172	COG0172.OTUcal.v2.659	motu_linkage_group_112
764143897-stool1_revised_scaffold2101_1_gene42226	COG0533	COG0533.OTUcal.v2.1738	motu_linkage_group_360
309801.trd_0697	COG0215	COG0215.OTUcal.v2.717	-
444157.Tneu_1456	COG0525	COG0525.OTUcal.v2.838	-
757425.ICDCCJ07001_1127	COG0018	COG0018.OTUcal.v2.1252	-
MH0076_revised_scaffold5861_1_gene12545	COG0018	COG0018.OTUcal.v2.1718	motu_linkage_group_134
749551.HMPREF9555_01212	COG0172	COG0172.OTUcal.v2.871	-
887324.HMPREF0027_1371	COG0495	COG0495.OTUcal.v2.1287	-
446469.Sked_31750	COG0215	COG0215.OTUcal.v2.538	-
945021.TEH_13190	COG0016	COG0016.OTUcal.v2.1454	-
MH0044_revised_scaffold7921_2_gene41180	COG0012	COG0012.OTUcal.v2.1899	-
MH0071_revised_scaffold5481_2_gene33502	COG0016	COG0016.OTUcal.v2.1764	motu_linkage_group_120
473819.BIFDEN_02414	COG0012	COG0012.OTUcal.v2.1285	-
471870.BACINT_01228	COG0012	COG0012.OTUcal.v2.679	motu_linkage_group_593
372461.BCc_193	COG0172	COG0172.OTUcal.v2.1046	-
MH0075_revised_scaffold48499_4_gene62453	COG0016	COG0016.OTUcal.v2.1809	motu_linkage_group_70
159247771-stool1_revised_C715988_1_gene100506	COG0012	COG0012.OTUcal.v2.634	motu_linkage_group_196
159207311-stool2_revised_scaffold35759_1_gene1668	COG0533	COG0533.OTUcal.v2.1794	motu_linkage_group_295
666681.M301_1568	COG0172	COG0172.OTUcal.v2.1212	-
449216.rpr22_CDS580	COG0012	COG0012.OTUcal.v2.929	-
159005010-stool1_revised_scaffold14853_1_gene51121	COG0018	COG0018.OTUcal.v2.1686	motu_linkage_group_225
763961826-stool2_revised_scaffold11371_1_gene85565	COG0215	COG0215.OTUcal.v2.388	motu_linkage_group_582
392500.Swoo_1059	COG0525	COG0525.OTUcal.v2.1260	-
765963.HPPC_08090	COG0533	COG0533.OTUcal.v2.1300	-
158499257-stool2_revised_C1308215_1_gene63420	COG0172	COG0172.OTUcal.v2.1570	motu_linkage_group_119
338963.Pcar_1413	COG0495	COG0495.OTUcal.v2.526	-
706846339-stool1_revised_scaffold2826_1_gene79865	COG0541	COG0541.OTUcal.v2.355	motu_linkage_group_100
640512.BC1003_4538	COG0533	COG0533.OTUcal.v2.1347	-
557598.LHK_01003	COG0018	COG0018.OTUcal.v2.178	-
984129.FNFX1_0315	COG0215	COG0215.OTUcal.v2.1443	-
904321.SEVCU045_1222	COG0012	COG0012.OTUcal.v2.1206	-
506534.Rhein_2914	COG0012	COG0012.OTUcal.v2.152	-
MH0044_revised_scaffold3152_1_gene15152	COG0018	COG0018.OTUcal.v2.2057	-
764811490-stool1_revised_C319016_1_gene11508	COG0016	COG0016.OTUcal.v2.1728	motu_linkage_group_206
453362.SP187300_2161	COG0018	COG0018.OTUcal.v2.32	-
319701.M28_Spy0145	COG0495	COG0495.OTUcal.v2.1693	-
632348.Calkro_0393	COG0215	COG0215.OTUcal.v2.1711	-
469592.HMPREF0104_00708	COG0018	COG0018.OTUcal.v2.1423	motu_linkage_group_105
393133.LMRG_01918	COG0012	COG0012.OTUcal.v2.618	-
764325968-stool1_revised_scaffold455_1_gene69276	COG0533	COG0533.OTUcal.v2.1786	motu_linkage_group_498
643561.Acav_0802	COG0541	COG0541.OTUcal.v2.1682	-
718271.CJS3_1138	COG0495	COG0495.OTUcal.v2.1289	-
160178356-stool1_revised_C584878_1_gene1262	COG0012	COG0012.OTUcal.v2.1761	motu_linkage_group_127
417400.VCE_002549	COG0016	COG0016.OTUcal.v2.1688	-
412694.BALH_0013	COG0172	COG0172.OTUcal.v2.1656	-
1001585.MDS_0573	COG0018	COG0018.OTUcal.v2.289	-
809635352-stool1_revised_scaffold37430_1_gene12289	COG0533	COG0533.OTUcal.v2.668	motu_linkage_group_262
764447348-stool1_revised_C493756_1_gene47529	COG0552	COG0552.OTUcal.v2.1765	motu_linkage_group_127
985002.SAMSHR1132_05510	COG0018	COG0018.OTUcal.v2.495	-
763678604-stool1_revised_scaffold18939_1_gene60986	COG0533	COG0533.OTUcal.v2.1709	motu_linkage_group_260
763678604-stool2_revised_scaffold37807_1_gene22501	COG0495	COG0495.OTUcal.v2.241	motu_linkage_group_81
763496533-stool2_revised_C1195288_1_gene47668	COG0172	COG0172.OTUcal.v2.633	motu_linkage_group_196
159814214-stool1_revised_C621717_1_gene18330	COG0012	COG0012.OTUcal.v2.1056	motu_linkage_group_396
481009.RSA_03220	COG0016	COG0016.OTUcal.v2.1686	-
714359.BMB171_C0086	COG0215	COG0215.OTUcal.v2.1697	-
MH0075_revised_scaffold6214_3_gene24900	COG0018	COG0018.OTUcal.v2.452	motu_linkage_group_155
633149.Bresu_0376	COG0495	COG0495.OTUcal.v2.1022	-
159227541-stool2_revised_C965596_1_gene43047	COG0018	COG0018.OTUcal.v2.1991	motu_linkage_group_484
556267.HWAG_00565	COG0541	COG0541.OTUcal.v2.874	-
246197.MXAN_2630	COG0215	COG0215.OTUcal.v2.384	-
160400887-stool1_revised_C1507269_1_gene72	COG0016	COG0016.OTUcal.v2.1814	motu_linkage_group_69
764062976-stool1_revised_scaffold27657_3_gene60628	COG0533	COG0533.OTUcal.v2.1695	motu_linkage_group_131
355276.LBL_0168	COG0016	COG0016.OTUcal.v2.212	-
279238.Saro_3215	COG0495	COG0495.OTUcal.v2.779	-
160218816-stool1_revised_scaffold16024_2_gene106200	COG0525	COG0525.OTUcal.v2.1977	motu_linkage_group_212
763901136-stool1_revised_scaffold37662_1_gene131352	COG0541	COG0541.OTUcal.v2.1652	motu_linkage_group_95
546267.NEIPOLOT_00164	COG0525	COG0525.OTUcal.v2.149	-
158479027-stool1_revised_C774385_1_gene69444	COG0525	COG0525.OTUcal.v2.663	motu_linkage_group_262
MH0012_revised_scaffold5269_5_gene146145	COG0525	COG0525.OTUcal.v2.1966	motu_linkage_group_307
V1.CD15-0_revised_scaffold27218_6_gene43740	COG0525	COG0525.OTUcal.v2.1450	motu_linkage_group_105
526989.bcere0025_35160	COG0541	COG0541.OTUcal.v2.764	-
MH0070_revised_scaffold604_5_gene34894	COG0215	COG0215.OTUcal.v2.450	motu_linkage_group_155
349123.Lreu23DRAFT_3940	COG0552	COG0552.OTUcal.v2.1692	-
634956.Geoth_3848	COG0018	COG0018.OTUcal.v2.1233	-
243161.TC0367	COG0012	COG0012.OTUcal.v2.140	-
584708.Apau_1402	COG0525	COG0525.OTUcal.v2.276	-
1088720.LRHK_1760	COG0018	COG0018.OTUcal.v2.557	-
709991.Odosp_0594	COG0018	COG0018.OTUcal.v2.665	motu_linkage_group_262
MH0041_revised_scaffold17762_8_gene79	COG0018	COG0018.OTUcal.v2.861	motu_linkage_group_170
525379.HMPREF0819_1429	COG0215	COG0215.OTUcal.v2.337	-
436115.BMAPRL20_A1073	COG0016	COG0016.OTUcal.v2.893	-
441769.Bcoam_010100008495	COG0552	COG0552.OTUcal.v2.344	-
479432.Sros_0142	COG0172	COG0172.OTUcal.v2.1603	-
379731.PST_1190	COG0541	COG0541.OTUcal.v2.376	-
706846339-stool1_revised_scaffold12677_2_gene144176	COG0552	COG0552.OTUcal.v2.1802	motu_linkage_group_135
763496533-stool2_revised_scaffold47259_1_gene108014	COG0016	COG0016.OTUcal.v2.1534	motu_linkage_group_417
485913.Krac_12157	COG0525	COG0525.OTUcal.v2.1245	-
675811.VFA_000231	COG0533	COG0533.OTUcal.v2.114	-
517418.Ctha_2465	COG0541	COG0541.OTUcal.v2.116	-
638754422-stool1_revised_scaffold25778_1_gene80532	COG0525	COG0525.OTUcal.v2.1824	motu_linkage_group_205
765420.OSCT_2586	COG0016	COG0016.OTUcal.v2.616	-
V1.UC13-0_revised_scaffold30436_3_gene315	COG0018	COG0018.OTUcal.v2.1764	motu_linkage_group_310
391038.Bphy_2643	COG0541	COG0541.OTUcal.v2.1086	-
685727.REQ_17420	COG0018	COG0018.OTUcal.v2.955	-
V1.CD11-0_revised_scaffold15971_1_gene20556	COG0533	COG0533.OTUcal.v2.875	-
445975.COLSTE_01629	COG0541	COG0541.OTUcal.v2.470	motu_linkage_group_19
765074482-stool1_revised_scaffold45386_1_gene42311	COG0016	COG0016.OTUcal.v2.1874	motu_linkage_group_240
866777.HMPREF9228_0396	COG0541	COG0541.OTUcal.v2.1721	-
764325968-stool2_revised_scaffold39727_1_gene19400	COG0172	COG0172.OTUcal.v2.1730	-
864567.HMPREF8571_0294	COG0018	COG0018.OTUcal.v2.1218	-
159713063-stool1_revised_scaffold5920_4_gene61355	COG0525	COG0525.OTUcal.v2.843	motu_linkage_group_178
866777.HMPREF9228_0398	COG0215	COG0215.OTUcal.v2.1512	-
159733294-stool1_revised_scaffold26636_1_gene16632	COG0541	COG0541.OTUcal.v2.2064	motu_linkage_group_497
387344.LVIS_1253	COG0525	COG0525.OTUcal.v2.659	-
431947.PGN_0819	COG0495	COG0495.OTUcal.v2.314	-
521045.Kole_1434	COG0018	COG0018.OTUcal.v2.1190	-
764447348-stool2_revised_scaffold30388_1_gene132854	COG0541	COG0541.OTUcal.v2.1068	motu_linkage_group_396
763840445-stool2_revised_scaffold10698_1_gene50044	COG0525	COG0525.OTUcal.v2.2118	-
MH0082_revised_scaffold7921_4_gene17473	COG0012	COG0012.OTUcal.v2.1722	motu_linkage_group_85
679205.HMPREF9347_04193	COG0012	COG0012.OTUcal.v2.923	motu_linkage_group_607
457429.SSDG_06163	COG0541	COG0541.OTUcal.v2.426	-
457429.SSDG_06169	COG0552	COG0552.OTUcal.v2.427	-
763496533-stool1_revised_scaffold7762_1_gene94185	COG0215	COG0215.OTUcal.v2.1520	motu_linkage_group_116
160765029-stool1_revised_scaffold898_4_gene28047	COG0172	COG0172.OTUcal.v2.833	motu_linkage_group_178
V1.UC13-0_revised_scaffold4174_2_gene909	COG0172	COG0172.OTUcal.v2.1945	-
160502038-stool1_revised_scaffold14928_1_gene18958	COG0172	COG0172.OTUcal.v2.1402	motu_linkage_group_338
585394.RHOM_02895	COG0533	COG0533.OTUcal.v2.1610	motu_linkage_group_482
638302.HMPREF0908_1066	COG0018	COG0018.OTUcal.v2.736	-
MH0079_revised_scaffold18166_16_gene18172	COG0541	COG0541.OTUcal.v2.1992	-
159166850-stool1_revised_scaffold27833_2_gene135716	COG0495	COG0495.OTUcal.v2.2162	motu_linkage_group_71
452659.RrIowa_0700	COG0495	COG0495.OTUcal.v2.1086	-
763597684-stool1_revised_scaffold64383_2_gene26953	COG0215	COG0215.OTUcal.v2.1832	motu_linkage_group_306
585529.HMPREF0291_10194	COG0533	COG0533.OTUcal.v2.1623	-
550534656-stool1_revised_C459318_1_gene13667	COG0525	COG0525.OTUcal.v2.1069	motu_linkage_group_396
1055530.HPSNT_03950	COG0552	COG0552.OTUcal.v2.1304	-
159753524-stool1_revised_C1068236_1_gene25702	COG0533	COG0533.OTUcal.v2.1996	-
MH0066_revised_scaffold25428_7_gene42097	COG0552	COG0552.OTUcal.v2.1785	-
547045.NEISICOT_01580	COG0012	COG0012.OTUcal.v2.155	-
391601.SSKA14_4031	COG0495	COG0495.OTUcal.v2.973	-
MH0086_revised_scaffold6441_3_gene15021	COG0012	COG0012.OTUcal.v2.1899	-
879310.HMPREF9162_2257	COG0495	COG0495.OTUcal.v2.889	-
573065.Astex_0200	COG0541	COG0541.OTUcal.v2.1417	-
763961826-stool2_revised_scaffold19758_1_gene47411	COG0016	COG0016.OTUcal.v2.1877	motu_linkage_group_366
MH0071_revised_scaffold7704_1_gene68568	COG0533	COG0533.OTUcal.v2.1360	motu_linkage_group_544
536232.CLM_3972	COG0215	COG0215.OTUcal.v2.549	-
357804.Ping_3368	COG0541	COG0541.OTUcal.v2.1459	-
MH0006_revised_scaffold164170_2_gene110960	COG0018	COG0018.OTUcal.v2.1925	motu_linkage_group_470
640081.Dsui_3084	COG0215	COG0215.OTUcal.v2.870	-
754025.HMPREF9528_00941	COG0495	COG0495.OTUcal.v2.1342	-
101510.RHA1_ro03622	COG0495	COG0495.OTUcal.v2.293	-
766148.SFK272_2515	COG0018	COG0018.OTUcal.v2.927	motu_linkage_group_607
574521.E2348C_2899	COG0541	COG0541.OTUcal.v2.1699	motu_linkage_group_607
