PATID00001	LMOh7858_0068
PATID01101	E2348C_3937
PATID01102	Z3344
PATID01103	STM14_5560
PATID01104	Rv1013
PATID01105	STM474_4511
PATID01106	Rv2703
PATID01107	SL1344_1828
PATID01108	Rv3246c
PATID01109	c3585
PATID01110	Rv1940
PATID01111	Rv1812c
PATID01112	lmo0594
PATID01113	c1661
PATID01114	Btr_2522
PATID01115	Z2318
PATID01116	ERDMAN_2956
PATID01117	SFK218_2097
PATID01118	Rv0287
PATID01119	Rv3323c
PATID01120	S4602
PATID01121	STM1751
PATID01122	Rv2378c
PATID01123	Rv2711
PATID01124	EC042_pAA031
PATID01125	SL1344_1412
PATID01126	SL1344_1338
PATID01127	E2348C_3930
PATID01128	E2348C_2041
PATID01129	lmo1290
PATID01130	Rv1891
PATID01131	Rv3312A
PATID01132	Rv3103c
PATID01133	S0140
PATID01134	MT2466
PATID01135	MAV_2450
PATID01136	Lmon1_020100011355
PATID01137	LMOf2365_1877
PATID01138	SL1344_2144
PATID01139	lmo2549
PATID01140	Lmon1_020100008297
PATID01141	SL1344_3217
PATID01142	Rv3400
PATID01143	Z5116
PATID01144	E2348_P1_009
PATID01145	SEN2763
PATID01146	lmo0137
PATID01147	SL1344_2780
PATID01148	Rv0288
PATID01149	STM14_1303
PATID01150	MT0958
PATID01151	lmo0202
PATID01152	STY4653
PATID01153	SL1344_2853
PATID01154	CP0271
PATID01155	SL1344_1080
PATID01156	lmo1831
PATID01157	STM474_2178
PATID01158	MT1898
PATID01159	Rv0982
PATID01160	SDY_3554
PATID01161	Z2212
PATID01162	APECO1_O1CoBM168
PATID01163	Mtub2_010100008163
PATID01164	Rv3495c
PATID01165	lmo0434
PATID01166	pO157p78
PATID01167	STM14_1236
PATID01168	Z5444
PATID01169	STM14_2301
PATID01170	Rv1937
PATID01171	Rv3866
PATID01172	MAP0482
PATID01173	lmo2430
PATID01174	Rv3114
PATID01175	Z5112
PATID01176	Rv1238
PATID01177	SEN2801
PATID01178	Rv2048c
PATID01179	MMAR_5456
PATID01180	Rv3671c
PATID01181	BH13440
PATID01182	E2348_P1_011
PATID01183	STM14_1016
PATID01184	t0781
PATID01185	Rv3003c
PATID01186	SEN3544
PATID01187	Z1328
PATID01188	SL1344_2174
PATID01189	JTY_2948
PATID01190	STM2898
PATID01191	lmo1295
PATID01192	b3137
PATID01193	SL1344_2538
PATID01194	E2348C_3960
PATID01195	Rv3378c
PATID01196	Rv3210c
PATID01197	ERDMAN_2424
PATID01198	Rv3682
PATID01199	lmo1076
PATID01200	t0480
PATID01201	lmo0205
PATID01202	Lmon1_020100003122
PATID01203	STM14_1696
PATID01204	Rv0490
PATID01205	SL1344_1097
PATID01206	Z5946
PATID01207	SL1344_3673
PATID01208	Z4282
PATID01209	Rv1696
PATID01210	Rv0821c
PATID01211	LIV_1186
PATID01212	Rv0586
PATID01213	STM0546
PATID01214	STM474_1664
PATID01215	c5399
PATID01216	SL1344_1277
PATID01217	SL1344_1169
PATID01218	APECO1_O1CoBM171
PATID01219	SEN0882
PATID01220	STM14_0682
PATID01221	Z4466
PATID01222	SEN1653
PATID01223	Z3062
PATID01224	STM474_1399
PATID01225	t4350
PATID01226	SEN1155
PATID01227	LF82_0521
PATID01228	Rv1338
PATID01229	Rv3087
PATID01230	SL1344_1867
PATID01231	SL1344_2871
PATID01232	Rv0173
PATID01233	lmo1916
PATID01234	MT2783
PATID01235	Rv2553c
PATID01236	MAP3893c
PATID01237	E2348C_3945
PATID01238	lmo0584
PATID01239	STM474_2339
PATID01240	Btr_2512
PATID01241	Z2463
PATID01242	Rv0594
PATID01243	ERDMAN_1031
PATID01244	STM14_4713
PATID01245	Lmon1_020100009188
PATID01246	SL1344_2653
PATID01247	Rv3717
PATID01248	CE10_0570
PATID01249	Rv3086
PATID01250	SL1344_1628
PATID01251	Rv1795
PATID01252	Rv1638
PATID01253	Rv3846
PATID01254	Rv1747
PATID01255	SL1344_1030
PATID01256	Mb1446c
PATID01257	Rv2031c
PATID01258	SF2457T_4958
PATID01259	Btr_2533
PATID01260	Rv2241
PATID01261	APECO1_O1CoBM73
PATID01262	CP0139
PATID01263	STM0978
PATID01264	Rv2945c
PATID01265	Z5014
PATID01266	STM4361
PATID01267	STM14_1710
PATID01268	Rv1710
PATID01269	MAP3324c
PATID01270	b1224
PATID01271	Z4136
PATID01272	STM1398
PATID01273	Rv3664c
PATID01274	Lmon1_020100004392
PATID01275	STM474_1428
PATID01276	c5394
PATID01277	Rv2808
PATID01278	Rv0129c
PATID01279	Rv2986c
PATID01280	SL1344_3681
PATID01281	MMAR_2755
PATID01282	STM14_5562
PATID01283	MT2175
PATID01284	lmo1428
PATID01285	STM14_1497
PATID01286	Rv0126
PATID01287	STM14_3477
PATID01288	SL1344_1082
PATID01289	CP0127
PATID01290	c3592
PATID01291	MMAR_2285
PATID01292	Rv3602c
PATID01293	Rv1272c
PATID01294	lmo0650
PATID01295	SL1344_0257
PATID01296	STM14_3495
PATID01297	Rv1192
PATID01298	CP0131
PATID01299	STMUK_3699
PATID01300	MT2306
PATID01301	LmonL_020200020201
PATID01302	Rv1660
PATID01303	Z1126
PATID01304	Z3496
PATID01305	Rv0175
PATID01306	CP0182
PATID01307	Z2313
PATID01308	SL1344_2850
PATID01309	LmonL_020200003716
PATID01310	Lmon1_020100002767
PATID01311	lmo0190
PATID01312	Rv2275
PATID01313	lmo2051
PATID01314	Rv2939
PATID01315	t4348
PATID01316	Rv1348
PATID01317	Z4660
PATID01318	Rv2483c
PATID01319	SL1344_2878
PATID01320	C4390_44160
PATID01321	Rv3571
PATID01322	Rv1974
PATID01323	S0967
PATID01324	Rv0847
PATID01325	STM14_0808
PATID01326	Rv1743
PATID01327	Z4942
PATID01328	STY4651
PATID01329	pKDSC50_p04
PATID01330	SEN1825
PATID01331	ERDMAN_0719
PATID01332	EcB171_3183
PATID01333	VBILisMon199232_0309
PATID01334	BCG_0832
PATID01335	BARBAKC583_1172
PATID01336	SL1344_2072
PATID01337	Rv0353
PATID01338	LmonL_020200019646
PATID01339	Rv3556c
PATID01340	STM14_1698
PATID01341	C4893_43000
PATID01342	Rv3665c
PATID01343	SL1344_0521
PATID01344	CP0145
PATID01345	Rv2947c
PATID01346	Rv2200c
PATID01347	Rv2234
PATID01348	Rv1982c
PATID01349	Rv2869c
PATID01350	lmo0893
PATID01351	Rv2359
PATID01352	STMUK_2870
PATID01353	UTI89_C4427
PATID01354	Z5114
PATID01355	Rv2941
PATID01356	SL1344_1353
PATID01357	Rv3631
PATID01358	MMAR_3661
PATGENE00001	mxiD
PATGENE00002	pagC
PATGENE00003	pstS1
PATGENE00004	cstA
PATGENE00005	AvrA
PATGENE00006	grxD
PATGENE00007	icsP/sopA
PATGENE00008	pks7
PATGENE00009	gmhA
PATGENE00010	ssaL
PATGENE00011	shdA
PATGENE00012	kduI
PATGENE00013	trwL1
PATGENE00014	csgE
PATGENE00015	sod
PATGENE00016	phoN
PATGENE00017	sitB
PATGENE00018	msbB2
PATGENE00019	mce-3
PATGENE00020	assT
PATGENE00021	dltA
PATGENE00022	orgAa
PATGENE00023	sigE
PATGENE00024	lipR
PATGENE00025	nrp
PATGENE00026	lspA
PATGENE00027	choD
PATGENE00028	ssaN
PATGENE00029	nuoG
PATGENE00030	pyrE
PATGENE00031	rfbM
PATGENE00032	iroB
PATGENE00033	vexA
PATGENE00034	misL
PATGENE00035	pbpB
PATGENE00036	evgS
PATGENE00037	mmaA2
PATGENE00038	etk
PATGENE00039	devS
PATGENE00040	toxB
PATGENE00041	mgtB
PATGENE00042	spa47
PATGENE00043	dppA
PATGENE00044	rfbB
PATGENE00045	hmp
PATGENE00046	aatB
PATGENE00047	ospC1
PATGENE00048	mxiI
PATGENE00049	bglX
PATGENE00050	znuC
PATGENE00051	sseG
PATGENE00052	rnhB
PATGENE00053	iutA
PATGENE00054	papA2
PATGENE00055	spa15
PATGENE00056	perA
PATGENE00057	pipD
PATGENE00058	bioF1
PATGENE00059	iucA
PATGENE00060	purB
PATGENE00061	ordL
PATGENE00062	ung
PATGENE00063	erp
PATGENE00064	hlyA
PATGENE00065	mce3B
PATGENE00066	ompF
PATGENE00067	opuCA
PATGENE00068	fri
PATGENE00069	ypjA
PATGENE00070	dpiA
PATGENE00071	ahpC
PATGENE00072	fadA4
PATGENE00073	bfpC
PATGENE00074	lipF
PATGENE00075	fadD28
PATGENE00076	rfaZ
PATGENE00077	accD1
PATGENE00078	trwF
PATGENE00079	aroD
PATGENE00080	iroC
PATGENE00081	sodC
PATGENE00082	tktA
PATGENE00083	escC
PATGENE00084	yciF
PATGENE00085	hscC
PATGENE00086	copS
PATGENE00087	hns
PATGENE00088	yjcF
PATGENE00089	kbaY
PATGENE00090	recD
PATGENE00091	waaJ
PATGENE00092	whiB4
PATGENE00093	fabG
PATGENE00094	rpfD
PATGENE00095	spaT
PATGENE00096	trwJ2
PATGENE00097	stx1B
PATGENE00098	ssaK
PATGENE00099	mmpL8
PATGENE00100	divIVA
PATGENE00101	yhiJ
PATGENE00102	csgF
PATGENE00103	yedL
PATGENE00104	bphC
PATGENE00105	whiB3
PATGENE00106	PPE17
PATGENE00107	pyrD
PATGENE00108	map
PATGENE00109	moaC
PATGENE00110	fadD29
PATGENE00111	celF
PATGENE00112	livG
PATGENE00113	ssaM
PATGENE00114	spa33
PATGENE00115	groEL
PATGENE00116	sigF
PATGENE00117	invH
PATGENE00118	serB2
PATGENE00119	ceoC
PATGENE00120	trpB
PATGENE00121	cpsA
PATGENE00122	cbiA
PATGENE00123	ppsD
PATGENE00124	ssaJ
PATGENE00125	ipgD
PATGENE00126	tir
PATGENE00127	ssrB
PATGENE00128	alkB
PATGENE00129	papA5
PATGENE00130	sseC
PATGENE00131	pks6
PATGENE00132	lpqS
PATGENE00133	mmpL7
PATGENE00134	plcD
PATGENE00135	prgH
PATGENE00136	invA
PATGENE00137	vexE
PATGENE00138	cnf1
PATGENE00139	PE35
PATGENE00140	vacB
PATGENE00141	ltp3
PATGENE00142	smcL
PATGENE00143	purQ
PATGENE00144	mpl
PATGENE00145	sopD2
PATGENE00146	pirG
PATGENE00147	bfpP
PATGENE00148	sseB
PATGENE00149	etp
PATGENE00150	sodB
PATGENE00151	uhpT
PATGENE00152	virF
PATGENE00153	mprB
PATGENE00154	lisR
PATGENE00155	purC
PATGENE00156	ybhM
PATGENE00157	PE5
PATGENE00158	sifA
PATGENE00159	fadD33
PATGENE00160	ycjM
PATGENE00161	vexB
PATGENE00162	yrbE1B
PATGENE00163	pckA
PATGENE00164	espF
PATGENE00165	cyp125
PATGENE00166	spvC
PATGENE00167	mglA
PATGENE00168	kdpD
PATGENE00169	znuB
PATGENE00170	metA
PATGENE00171	invJ
PATGENE00172	rfaJ
PATGENE00173	stx1A
PATGENE00174	furB
PATGENE00175	mbtC
PATGENE00176	xthA
PATGENE00177	mpt83
PATGENE00178	marT
PATGENE00179	hupB
PATGENE00180	bioA
PATGENE00181	yjeJ
PATGENE00182	pefA
PATGENE00183	trkA
PATGENE00184	aroE
PATGENE00185	bioB
PATGENE00186	icsA
PATGENE00187	sbcD
PATGENE00188	ssaT
PATGENE00189	pet
PATGENE00190	trxC
PATGENE00191	galE
PATGENE00192	ppgK
PATGENE00193	fcI
PATGENE00194	sat
PATGENE00195	lysS
PATGENE00196	dksA
PATGENE00197	tagB
PATGENE00198	sseI
PATGENE00199	leuD
PATGENE00200	idnK
PATGENE00201	sthA
PATGENE00202	PE15
PATGENE00203	ppsE
PATGENE00204	pks5
PATGENE00205	pknG
PATGENE00206	sptP
PATGENE00207	tviB
PATGENE00208	drrA
PATGENE00209	acg
PATGENE00210	ydeK
PATGENE00211	inlC
PATGENE00212	fimI
PATGENE00213	clpP
PATGENE00214	sseD
PATGENE00215	vexC
PATGENE00216	PE_PGRS41
PATGENE00217	fadD
PATGENE00218	phoT
PATGENE00219	rpfA
PATGENE00220	cyoB
PATGENE00221	lpqY
PATGENE00222	moaD1
PATGENE00223	fbpA
PATGENE00224	mpt64
PATGENE00225	PPE27
PATGENE00226	invI
PATGENE00227	aafD
PATGENE00228	envZ
PATGENE00229	rfbC
PATGENE00230	invG
PATGENE00231	phoU
PATGENE00232	mce4A
PATGENE00233	aggR
PATGENE00234	hslT
PATGENE00235	cobL
PATGENE00236	rfaG
PATGENE00237	hilA
PATGENE00238	mce2F
PATGENE00239	ompC
PATGENE00240	cysH
PATGENE00241	vacJ
PATGENE00242	hemN
PATGENE00243	fliC
PATGENE00244	ipaD
PATGENE00245	fimZ
PATGENE00246	hrpA
PATGENE00247	sirA
PATGENE00248	pitB
PATGENE00249	siiE
PATGENE00250	umaA
PATGENE00251	murI
PATGENE00252	ami
PATGENE00253	ilvB1
PATGENE00254	wcaM
PATGENE00255	bfpU
PATGENE00256	pycA
PATGENE00257	PPE8
PATGENE00258	hrcA
PATGENE00259	lprK
PATGENE00260	cmaA2
PATGENE00261	aceE
PATGENE00262	dppD
PATGENE00263	speL
PATGENE00264	rfbK
PATGENE00265	sigD
PATGENE00266	fepA
PATGENE00267	csgG
PATGENE00268	ctaC
PATGENE00269	tdcE
PATGENE00270	rfe
PATGENE00271	mxiJ
PATGENE00272	espD
PATGENE00273	papG
PATGENE00274	pefC
PATGENE00275	PE19
PATGENE00276	ssaU
PATGENE00277	mgtC
PATGENE00278	tig
PATGENE00279	rfbA
PATGENE00280	fadD10
PATGENE00281	hbhA
PATGENE00282	purA
PATGENE00283	pmrD
PATGENE00284	sugB
PATGENE00285	mce1A
PATGENE00286	sugC
PATGENE00287	virB4
PATGENE00288	mce-2
PATGENE00289	ipaH7.8
PATGENE00290	hly
PATGENE00291	PE18
PATGENE00292	trpD
PATGENE00293	inlB
PATGENE00294	cesD2
PATGENE00295	ychF
PATGENE00296	proV
PATGENE00297	rfbH
PATGENE00298	ompD
PATGENE00299	surA
PATGENE00300	tolA
PATGENE00301	fbpB
PATGENE00302	tviD
PATGENE00303	iipA
PATGENE00304	pks15
PATGENE00305	csgD
PATGENE00306	whiB5
PATGENE00307	drrB
PATGENE00308	invF
PATGENE00309	mxiG
PATGENE00310	mbtA
PATGENE00311	gcvT
PATGENE00312	ppiC
PATGENE00313	lppX
PATGENE00314	spvR
PATGENE00315	secA2
PATGENE00316	degP
PATGENE00317	mbtF
PATGENE00318	ftsY
PATGENE00319	hilC
PATGENE00320	lisK
PATGENE00321	cobC
PATGENE00322	plcA
PATGENE00323	ruvB
PATGENE00324	udg
PATGENE00325	nfnB
PATGENE00326	slyD
PATGENE00327	yrbE4A
PATGENE00328	comEA
PATGENE00329	sspA
PATGENE00330	embA
PATGENE00331	yjjQ
PATGENE00332	yjhS
PATGENE00333	vexD
PATGENE00334	mmpS5
PATGENE00335	sepL
PATGENE00336	ipaA
PATGENE00337	stbC
PATGENE00338	ideR
PATGENE00339	hfq
PATGENE00340	prgK
PATGENE00341	siiD
PATGENE00342	fabF-2
PATGENE00343	rfaL
PATGENE00344	panD
PATGENE00345	ephB
PATGENE00346	mbtH
PATGENE00347	PPE26
PATGENE00348	ipgA
PATGENE00349	per
PATGENE00350	rfbP
PATGENE00351	gtcA
PATGENE00352	thiE
PATGENE00353	end
PATGENE00354	kpsC
PATGENE00355	pefD
PATGENE00356	galF
PATGENE00357	escN
PATGENE00358	mxiE
PATGENE00359	eatA
PATGENE00360	tviA
PATGENE00361	pipA
PATGENE00362	senX3
PATGENE00363	ibpB
PATGENE00364	prrA
PATGENE00365	ialB
PATGENE00366	gtrA
PATGENE00367	escJ
PATGENE00368	agg3D
PATGENE00369	ureC
PATGENE00370	sipB
PATGENE00371	slrP
PATGENE00372	sitA
PATGENE00373	treS
PATGENE00374	mxiK
PATGENE00375	bfpD
PATGENE00376	aroC
PATGENE00377	pknH
PATGENE00378	mprA
PATGENE00379	mce1B
PATGENE00380	dgt
PATGENE00381	gcp
PATGENE00382	yigF
PATGENE00383	regX3
PATGENE00384	tsh
PATGENE00385	zurM
PATGENE00386	shuA
PATGENE00387	espB
PATGENE00388	lpqH
PATGENE00389	proS
PATGENE00390	spvB
PATGENE00391	spaS
PATGENE00392	escU
PATGENE00393	yiaO
PATGENE00394	ipaH9.8
PATGENE00395	sepD
PATGENE00396	drrC
PATGENE00397	badA1
PATGENE00398	rfbI
PATGENE00399	stcD
PATGENE00400	mmpS4
PATGENE00401	yaiU
PATGENE00402	sopA
PATGENE00403	mbtG
PATGENE00404	torD
PATGENE00405	prfA
PATGENE00406	PPE37
PATGENE00407	invE
PATGENE00408	lysA
PATGENE00409	slyA
PATGENE00410	rpoS
PATGENE00411	ssaE
PATGENE00412	lpxD
PATGENE00413	lpqT
PATGENE00414	fadE33
PATGENE00415	gfcA
PATGENE00416	inlH
PATGENE00417	focA
PATGENE00418	wcaE
PATGENE00419	ansP1
PATGENE00420	mmaA3
PATGENE00421	tviC
PATGENE00422	rfaI
PATGENE00423	ymcC
PATGENE00424	rsbV
PATGENE00425	rhuM
PATGENE00426	ybaj
PATGENE00427	recN
PATGENE00428	aceAb
PATGENE00429	csgA
PATGENE00430	cesT
PATGENE00431	inlA
PATGENE00432	cspC
PATGENE00433	ompA
PATGENE00434	adhD
PATGENE00435	dppB
PATGENE00436	yagZ
PATGENE00437	ptbB
PATGENE00438	pagD
PATGENE00439	carA
PATGENE00440	hsp
PATGENE00441	orgB
PATGENE00442	chuA
PATGENE00443	trwL2
PATGENE00444	mas
PATGENE00445	stx2A
PATGENE00446	sigL
PATGENE00447	fadE29
PATGENE00448	yddA
PATGENE00449	ppk
PATGENE00450	devR
PATGENE00451	gfcE
PATGENE00452	papE
PATGENE00453	phoR
PATGENE00454	ibeA
PATGENE00455	esxG
PATGENE00456	ppsA
PATGENE00457	fbpC
PATGENE00458	virB
PATGENE00459	sopD
PATGENE00460	inlG
PATGENE00461	ssaG
PATGENE00462	pks16
PATGENE00463	nrdF1
PATGENE00464	yeiA
PATGENE00465	ctpD
PATGENE00466	pcaA
PATGENE00467	agg3C
PATGENE00468	lprG
PATGENE00469	sipA
PATGENE00470	glpX
PATGENE00471	plsC
PATGENE00472	ipaH
PATGENE00473	waaW
PATGENE00474	pknE
PATGENE00475	cobS
PATGENE00476	lprN
PATGENE00477	mmpL11
PATGENE00478	iniA
PATGENE00479	msbB
PATGENE00480	aroB
PATGENE00481	PPE25
PATGENE00482	relA
PATGENE00483	panC
PATGENE00484	sseJ
PATGENE00485	ctpV
PATGENE00486	sicP
PATGENE00487	yijP
PATGENE00488	ibeB
PATGENE00489	sipD
PATGENE00490	bfrA
PATGENE00491	papD
PATGENE00492	csgB
PATGENE00493	pipB
PATGENE00494	fadD13
PATGENE00495	bfpA
PATGENE00496	spaR
PATGENE00497	espC
PATGENE00498	ndk
PATGENE00499	PPE54
PATGENE00500	i-inlF
PATGENE00501	safA
PATGENE00502	rfc
PATGENE00503	cspE
PATGENE00504	htrA
PATGENE00505	pstA1
PATGENE00506	leuO
PATGENE00507	fadE28
PATGENE00508	fadA6
PATGENE00509	atpB
PATGENE00510	lgt
PATGENE00511	iucD
PATGENE00512	fimA
PATGENE00513	sseE
PATGENE00514	PE4
PATGENE00515	sbmA
PATGENE00516	aslA
PATGENE00517	papH
PATGENE00518	yeeI
PATGENE00519	hspR
PATGENE00520	cadB
PATGENE00521	manC
PATGENE00522	eae
PATGENE00523	lpfA
PATGENE00524	yfhH
PATGENE00525	aafC
PATGENE00526	ddl
PATGENE00527	ompR
PATGENE00528	ilvD
PATGENE00529	prrB
PATGENE00530	fimY
PATGENE00531	trxA
PATGENE00532	waaL
PATGENE00533	PPE68
PATGENE00534	rfaP
PATGENE00535	ptpA
PATGENE00536	sopE
PATGENE00537	pepD
PATGENE00538	bfrB
PATGENE00539	plcC
PATGENE00540	serA
PATGENE00541	cut2
PATGENE00542	fadE32
PATGENE00543	gbuA
PATGENE00544	gfcD
PATGENE00545	ipk
PATGENE00546	carB
PATGENE00547	pks1
PATGENE00548	aatP
PATGENE00549	ipgC
PATGENE00550	guaA
PATGENE00551	sugA
PATGENE00552	ospB
PATGENE00553	PE_PGRS33
PATGENE00554	dctA
PATGENE00555	yneB
PATGENE00556	allD
PATGENE00557	ssaS
PATGENE00558	ssaB
PATGENE00559	mxiM
PATGENE00560	ino1
PATGENE00561	esxA
PATGENE00562	hilD
PATGENE00563	fimC
PATGENE00564	nirA
PATGENE00565	mtrA
PATGENE00566	prgI
PATGENE00567	fimF
PATGENE00568	papA1
PATGENE00569	pic
PATGENE00570	tpx
PATGENE00571	narG
PATGENE00572	mmpL10
PATGENE00573	fljA
PATGENE00574	mdfA
PATGENE00575	aroA
PATGENE00576	ctpC
PATGENE00577	virS
PATGENE00578	fimE
PATGENE00579	yscR
PATGENE00580	purD
PATGENE00581	icl
PATGENE00582	mmaA1
PATGENE00583	fadD26
PATGENE00584	traT
PATGENE00585	sigG
PATGENE00586	sipC
PATGENE00587	PE_PGRS30
PATGENE00588	iucC
PATGENE00589	metX
PATGENE00590	bfpE
PATGENE00591	phoY2
PATGENE00592	fimD
PATGENE00593	rpfE
PATGENE00594	manB
PATGENE00595	ribA1
PATGENE00596	mbtB
PATGENE00597	rpfB
PATGENE00598	dsbB
PATGENE00599	eis
PATGENE00600	dppC
PATGENE00601	iipB
PATGENE00602	rfaK
PATGENE00603	hspX
PATGENE00604	batR
PATGENE00605	pknK
PATGENE00606	aatD
PATGENE00607	agaB
PATGENE00608	mycP1
PATGENE00609	zurA
PATGENE00610	guaB
PATGENE00611	gfcC
PATGENE00612	mmaA4
PATGENE00613	gatZ
PATGENE00614	fimB
PATGENE00615	rcK
PATGENE00616	papA
PATGENE00617	dpaL
PATGENE00618	rfaH
PATGENE00619	iap
PATGENE00620	flaA
PATGENE00621	papK
PATGENE00622	spaQ
PATGENE00623	ipgB1
PATGENE00624	invC
PATGENE00625	fimW
PATGENE00626	rfbG
PATGENE00627	rfbN
PATGENE00628	trwE
PATGENE00629	traJ
PATGENE00630	citC
PATGENE00631	proC
PATGENE00632	pks12
PATGENE00633	rorf8
PATGENE00634	fkpA
PATGENE00635	sopE2
PATGENE00636	fimH
PATGENE00637	tatB
PATGENE00638	sigH
PATGENE00639	stbD
PATGENE00640	sigC
PATGENE00641	gatC
PATGENE00642	serC
PATGENE00643	fljB
PATGENE00644	spaO
PATGENE00645	lpfB
PATGENE00646	ssaP
PATGENE00647	rfbD
PATGENE00648	lppM
PATGENE00649	cysE
PATGENE00650	znuA
PATGENE00651	uvrD1
PATGENE00652	PE_PGRS62
PATGENE00653	arp
PATGENE00654	mxiL
PATGENE00655	pflA
PATGENE00656	ppdD
PATGENE00657	i-inlE
PATGENE00658	spvD
PATGENE00659	icsA/virG
PATGENE00660	lpqZ
PATGENE00661	plcB
PATGENE00662	dam
PATGENE00663	PPE5
PATGENE00664	senB
PATGENE00665	ycjV
PATGENE00666	argJ
PATGENE00667	ssrA
PATGENE00668	wbdP
PATGENE00669	virD4
PATGENE00670	soxS
PATGENE00671	sepZ
PATGENE00672	pcgL
PATGENE00673	cheA
PATGENE00674	ssaV
PATGENE00675	galU
PATGENE00676	glnA1
PATGENE00677	sepQ
PATGENE00678	spaP
PATGENE00679	prgJ
PATGENE00680	sodA
PATGENE00681	gip
PATGENE00682	spvA
PATGENE00683	fur
PATGENE00684	mig-14
PATGENE00685	focD
PATGENE00686	ipaC
PATGENE00687	trwD
PATGENE00688	pks10
PATGENE00689	uppP
PATGENE00690	gatB
PATGENE00691	mmpL4
PATGENE00692	tesA
PATGENE00693	ponA2
PATGENE00694	iroN
PATGENE00695	fadD5
PATGENE00696	tdcA
PATGENE00697	yibD
PATGENE00698	sseF
PATGENE00699	crp
PATGENE00700	avrA
PATGENE00701	fadD21
PATGENE00702	sigA
PATGENE00703	mbtD
PATGENE00704	espA
PATGENE00705	phoQ
PATGENE00706	rpfC
PATGENE00707	iacP
PATGENE00708	inlE
PATGENE00709	fliQ
PATGENE00710	clpB
PATGENE00711	ssaD
PATGENE00712	PPE31
PATGENE00713	lon
PATGENE00714	gfcB
PATGENE00715	sseA
PATGENE00716	actA
PATGENE00717	speA
PATGENE00718	sigB
PATGENE00719	rhsA
PATGENE00720	mbtE
PATGENE00721	ipgE
PATGENE00722	invB
PATGENE00723	barA
PATGENE00724	dsbA
PATGENE00725	sdiA
PATGENE00726	nlpC
PATGENE00727	moaX
PATGENE00728	katG
PATGENE00729	ltp2
PATGENE00730	wecE
PATGENE00731	rfbE
PATGENE00732	fadE30
PATGENE00733	phoN2/apy
PATGENE00734	cheY
PATGENE00735	solA
PATGENE00736	stx2B
PATGENE00737	mxiA
PATGENE00738	uvrA
PATGENE00739	amiD
PATGENE00740	tviE
PATGENE00741	ssaQ
PATGENE00742	espP
PATGENE00743	rfab
PATGENE00744	fimG
PATGENE00745	lpfC
PATGENE00746	cpxR
PATGENE00747	esxH
PATGENE00748	ipgB2
PATGENE00749	tonB
PATGENE00750	iroD
PATGENE00751	eaeA
PATGENE00752	mppA
PATGENE00753	ospF
PATGENE00754	esxB
PATGENE00755	ydiV
PATGENE00756	pfkA
PATGENE00757	iucB
PATGENE00758	ospE2
PATGENE00759	mkl
PATGENE00760	coaA
PATGENE00761	fadE22
PATGENE00762	waaI
PATGENE00763	icsB
PATGENE00764	agaC
PATGENE00765	papF
PATGENE00766	celA
PATGENE00767	stcC
PATGENE00768	pipC
PATGENE00769	mxiH
PATGENE00770	phoP
PATGENE00771	asd
PATGENE00772	escD
PATGENE00773	dbh
PATGENE00774	spoT
PATGENE00775	zurR
PATGENE00776	spa32
PATGENE00777	moeB1
PATGENE00778	pagO
PATFUN00001	capsules
PATFUN00002	toxin
PATFUN00003	stress
PATFUN00004	apoptosis
PATFUN00005	Serum resistance
PATFUN00006	common pili
PATFUN00007	cell wall
PATFUN00008	toxin-antitoxin
PATFUN00009	Common pili
PATFUN00010	cording
PATFUN00011	actin based motility
PATFUN00012	acquisition of nutrients
PATFUN00013	iron uptake
PATFUN00014	Virulence
PATFUN00015	Virulence
PATFUN00016	secretion system effectors
PATFUN00017	Regulation of gene expression
PATFUN00018	Virulence associated secretion systems
PATFUN00019	Type III secretion
PATFUN00020	phagosome maturation arrest
PATFUN00021	molecular mimicry
PATFUN00022	invasion
PATFUN00023	acid resistance
PATFUN00024	two-component system
PATFUN00025	cellular metabolism
PATFUN00026	stress protein
PATFUN00027	cell-to-cell spread
PATFUN00028	affect phagosome
PATFUN00029	Type III secretion system
PATFUN00030	Type III secretion system
PATFUN00031	Cell motility
PATFUN00032	defense against host immune responses
PATFUN00033	no evidence of virulence
PATFUN00034	regulation of gene expression
PATFUN00035	modulate host immune response
PATFUN00036	phosphate uptake
PATFUN00037	lps
PATFUN00038	biofilm
PATFUN00039	type vii secretion system
PATFUN00040	cell wall
PATFUN00041	Invasins
PATFUN00042	secretion system effectors 
PATFUN00043	virulence
PATFUN00044	actin-based motility
PATFUN00045	defense again host immune response
PATFUN00046	Fimbriae
PATFUN00047	other virulence regulators
PATFUN00048	Cell-to-cell spread
PATFUN00049	copper transport
PATFUN00050	antiphagocytosis
PATFUN00051	Invasion
PATFUN00052	survival inside the host derived vacuole
PATFUN00053	quorum sensing system
PATFUN00054	Capsule
PATFUN00055	adhesion
PATFUN00056	cell surface and membrane proteins
PATFUN00057	secretion
PATFUN00058	Defense against host immune response
PATFUN00059	intracellular survival and replication
PATFUN00060	defense against host immune responses
PATFUN00061	avoidance of host defense
PATFUN00062	protease
PATFUN00063	Defense against host immune responses
PATFUN00064	Virulence associated secretion systems
PATFUN00065	granuloma formation
PATFUN00066	biofilm
PATFUN00067	toxin
PATFUN00068	excretion
PATFUN00069	enterotoxin
PATFUN00070	inhibition of phagolysosome formation
PATFUN00071	avirulent
PATFUN00072	regulation of gene expression
PATFUN00073	proteases
PATFUN00074	secretion system
