#Family	cazy-note	ncbi-cdd	cazy-class	cazy-activities
CE1	Family CE1 also contains lots of other esterases such as PHB depolymerases.	pfam00756	CE	acetyl xylan esterase (EC 3.1.1.72); cinnamoyl esterase (EC 3.1.1.-); feruloyl esterase (EC 3.1.1.73); carboxylesterase (EC 3.1.1.1); S-formylglutathione hydrolase (EC 3.1.2.12)
GT35	NULL	pfam00343	GT	glycogen or starch phosphorylase (EC 2.4.1.1).
GH19	Contains chitinases of classes I, II, and IV.	cd00325	GH	chitinase (EC 3.2.1.14).
GH1		pfam00232	GH	beta-glucosidase (EC 3.2.1.21); beta-galactosidase (EC 3.2.1.23); beta-mannosidase (EC 3.2.1.25); beta-glucuronidase (EC 3.2.1.31); beta-D-fucosidase (EC 3.2.1.38); phlorizin hydrolase (EC 3.2.1.62); exo-beta-1,4-glucanase (EC 3.2.1.74); 6-phospho-beta-galactosidase (EC 3.2.1.85); 6-phospho-beta-glucosidase (EC 3.2.1.86); strictosidine beta-glucosidase (EC 3.2.1.105); lactase (EC 3.2.1.108); amygdalin beta-glucosidase (EC 3.2.1.117); prunasin beta-glucosidase (EC 3.2.1.118); raucaffricine beta-glucosidase (EC 3.2.1.125); thioglucosidase (EC 3.2.1.147); beta-primeverosidase (EC 3.2.1.149); isoflavonoid 7-O-beta-apiosyl-beta-glucosidase (EC 3.2.1.161); hydroxyisourate hydrolase (EC 3.-.-.-); beta-glycosidase (EC 3.2.1.-)
GH15		pfam00723	GH	glucoamylase (EC 3.2.1.3); glucodextranase (EC 3.2.1.70); alpha,alpha-trehalase (EC 3.2.1.28)
GT83	Known sugar donors include undecaprenyl phospho-a-L-4-amino-4-deoxy-L-arabinose ; dodecaprenyl phospho-b-galacturonic acid	COG1807	GT	undecaprenyl phosphate-alpha-L-Ara4N: 4-amino-4-deoxy-beta-L-arabinosyltransferase (EC 2.4.2.-); dodecaprenyl phosphate-beta-galacturonic acid: lipopolysaccharide core alpha-galacturonosyl transferase (EC 2.4.1.-)
GH77		pfam02446	GH	amylomaltase or 4-alpha-glucanotransferase (EC 2.4.1.25)
CBM50	Also known as LysM domains	pfam01476	CBM	Modules of approx. 50 residues found attached to various enzymes from families GH18, GH19, GH23, GH24, GH25 and GH73, i.e. enzymes cleaving either chitin or peptidoglycan. Binding to chitopentaose demonstrated in the case of Pteris ryukyuensis chitinase A [Ohnuma T et al. (2008) J. Biol. Chem. 283:5178-87 (PMID: 18083709)]. CBM50 modules are also found in a multitude of other enzymes targeting the petidoglycan such as peptidases and amidases. These enzymes are not reported in the list below.
CE9		cd00854	CE	N-acetylglucosamine 6-phosphate deacetylase (EC 3.5.1.25); N-acetylgalactosamine-6-phosphate deacetylase (EC 3.5.1.80).
GH31		pfam01055	GH	alpha-glucosidase (EC 3.2.1.20); alpha-1,3-glucosidase (EC 3.2.1.84); sucrase-isomaltase (EC 3.2.1.48) (EC 3.2.1.10); alpha-xylosidase (EC 3.2.1.-); alpha-glucan lyase (EC 4.2.2.13); isomaltosyltransferase (EC 2.4.1.-).
GT5		cd03791	GT	UDP-Glc: glycogen glucosyltransferase (EC 2.4.1.11); ADP-Glc: starch glucosyltransferase (EC 2.4.1.21); NDP-Glc: starch glucosyltransferase (EC 2.4.1.242); UDP-Glc: alpha-1,3-glucan synthase (EC 2.4.1.183) UDP-Glc: alpha-1,4-glucan synthase (EC 2.4.1.-)
PL7		pfam08787	PL	alginate lyase (EC 4.2.2.3); alpha-L-guluronate lyase (EC 4.2.2.11)
PL6		self-built	PL	alginate lyase (EC 4.2.2.3); chondroitinase B (EC 4.2.2.4).
PL5		pfam05426	PL	alginate lyase (EC 4.2.2.3).
PL4		self-built	PL	rhamnogalacturonan lyase (EC 4.2.2.-).
PL3		pfam03211	PL	pectate lyase (EC 4.2.2.2).
PL22	Structure:function relationships and mechanistic investigation by Abbott et al. (2010) PMID - 20851883	TIGR02800	PL	oligogalacturonate lyase / oligogalacturonide lyase (EC 4.2.2.6)
PL21	heparin lyase II enzymes have simultaneously heparin lyase (heparin lyase I) and heparin-sulfate lyase (heparin lyase III) activity ; distantly related to family PL15;	pfam07940	PL	heparin lyase (EC 4.2.2.7); heparin-sulfate lyase (EC 4.2.2.8); acharan-sulfate lyase (EC 4.2.2.-)
PL20	Created after paper by Konno et al. (2009) Appl. Environ. Microbiol. 75(1):101-7 (PMID: 18978091)	self-built	PL	endo-beta-1,4-glucuronan lyase (EC 4.2.2.14)
PL2		pfam06917	PL	pectate lyase (EC 4.2.2.2); exo-polygalacturonate lyase (EC 4.2.2.9).
PL18		pfam08787	PL	alginate lyase (EC 4.2.2.3).
PL17		pfam07940	PL	alginate lyase (EC 4.2.2.3).
PL16	Formerly known as glycoside hydrolase family GH69; assigned to a PL family following papers by Baker, J. R., Dong, S. and Pritchard, D. G. (2002) Biochem J 365, 317-322 and Smith et al (2005) PNAS 102: 17652-17657.	pfam07212	PL	hyaluronan lyase (EC 4.2.2.1).
PL15		pfam07940	PL	oligo-alginate lyase (EC 4.2.2.-)
PL13		self-built	PL	heparin lyase  (EC 4.2.2.7)
PL11		self-built	PL	rhamnogalacturonan lyase (EC 4.2.2.-); exo-unsaturated rhamnogalacturonan lyase (EC 4.2.2.-)
PL10		pfam09492	PL	pectate lyase (EC 4.2.2.2)
GT92	Created from Tiz et al. (2009) J. Biol. Chem., 284(52):36223-33 (PMID:19858195)	pfam01697	GT	UDP-Gal: N-glycan core alpha-1,6-fucoside beta-1,4-galactosyltransferase (EC 2.4.1.-); UDP-Gal: beta-galactoside beta-1,4-galactosyltransferase (EC 2.4.1.-)
GT91	Created from Mille et al. (2008) J Biol Chem. 283, 9724-9736 (PMID: 18234669)	pfam12141	GT	beta-1,2-mannosyltransferase (EC 2.4.1.-)
GT89	These enzymes use b-D-arabinofuranosyl-1-monophosphoryldecaprenol as the sugar donor; created after Seidel et al., J Biol Chem. 282:14729-14740 (2007) (PMID - 17387176).	self-built	GT	beta-D-arabinofuranosyl-1-monophosphoryldecaprenol : arabinan beta-1,2-arabinofuranosyltransferase (EC 2.4.2.-)
GT88	created after reading Belyi et al. Infect Immun. 71 (2003) 181-186 (PMID - 12496164); mechanism shown by Belyi et al. (2009) JBC in press (PMID - 19478083)	self-built	GT	UDP-Glc: alpha-glucosyltransferase (EC 2.4.1.-)
GT87	These enzymes use polyprenol-P-mannose as the sugar donor; created after Morita, YS et al. (2006) J. Biol. Chem., 281(35):25143-55 (PMID: 16803893)	pfam09594	GT	polyprenol-P-Man: alpha-1,2-mannosyltransferase (EC 2.4.1.-)
GT85	These enzymes utilise b-D-arabinofuranosyl monophosphoryldecaprenol as the donor; created after reading Alderwick et al. (2006) J. Biol. Chem., 281 (2006) 15653-15661 (PMID - 16595677)	pfam12250	GT	beta-D-arabinofuranosyl monophosphoryldecaprenol: galactan alpha-D-arabinofuranosyltransferase (EC 2.4.2.-)
GT82	Distantly related to family GT2; activity shown in Gilbert et al. (2002) J. Biol. Chem. 277, 327-337	pfam06306	GT	UDP-GalNAc: beta-1,4-N-acetylgalactosaminyltransferase (EC 2.4.1.-)
GT81	Created after reading Costa et al. (2006) J. Bacteriol. 188:1022-1030; updated to include mycobacterial,enzymes after reading Empadinhas et al. (2008) FEMS Microbiol Lett 280:195ï¿½202; distantly related to family GT2	PRK13915	GT	NDP-Glc: glucosyl-3-phosphoglycerate synthase (EC 2.4.1.-); NDP-Man: mannosyl-3-phosphoglycerate synthase (EC 2.4.1.-);
GT80	created from reading Yamamoto, Nakashizuka and Terada (1998) J Biochem (Tokyo) 123:94-100	pfam11477	GT	beta-galactoside alpha-2,6-sialyltransferase (EC 2.4.99.1); beta-galactoside alpha-2,3-sialyltransferase (EC 2.4.99.4)
GT79	Created after reading Goswami et al. Glycobiology (2006) 16, 230-236 (PMID: 16272216)	self-built	GT	GDP-D-Ara: phosphoglycan alpha-1,2-D-arabinopyranosyltransferase 1 (EC 2.4.2.-)
GT78	Distant similarity to family GT2	self-built	GT	GDP-Man: alpha-mannosyltransferase (mannosylglycerate synthase) (EC 2.4.1.-)
GT77	Created from Egelund J, Skjodt M, Geshi N, Ulvskov P and Petersen BL (2004) Plant Physiol. 136:2609-2620	pfam03407	GT	alpha-xylosyltransferase (EC 2.4.2.39); alpha-1,3-galactosyltransferase (EC 2.4.1.37); arabinosyltransferase (EC 2.4.2.-)
GT76	These enzymes use dolichol-P-mannose as the sugar donor; created after Kang, Hong, Ashida, Shishioh, Murakami, Morita, Maeda and Kinoshita (2005) J. Biol. Chem. 280:9489-9497 (PMID: 15623507)	pfam04188	GT	Dol-P-Man: alpha-1,6-mannosyltransferase (EC 2.4.1.-)
GT75	Members of this family are often attributed EC 2.4.1.112 (forming a-bonds) despite a paper by Singh et al, FEBS Lett  376 (1995) 61-64, showing that the glucose residue is b-linked to an arginine residue	pfam03214	GT	UDP-Glc: self-glucosylating beta-glucosyltransferase (EC 2.4.1.-)
GT74	The Dictyostelium enzyme has a GT2-GT74 tandem structure while the Desulfovibrio enzyme has a GT74-GT2 tandem structure.	self-built	GT	alpha-1,2-L-fucosyltransferase (EC 2.4.1.69)
GT73	These enzymes use a nucleotide monophosphosugar as the donor (CMP-b-KDO) instead of a nucleotide diphosphosugar	PRK09822	GT	CMP-beta-KDO: alpha-3-deoxy-D-manno-octulosonic-acid (KDO) transferase (EC 2.4.99.-).
GT72		pfam11440	GT	UDP-Glc: DNA alpha-glucosyltransferase (EC 2.4.1.26)
GT71	Distantly related to family GT8	pfam11051	GT	alpha-mannosyltransferase (EC 2.4.1.-)
GT70		self-built	GT	UDP-GlcA: beta-glucuronosyltransferase (EC 2.4.1.17)
GT69	Created after reading Sommer et al. (2003) J. Biol. Chem. 278:47724-47730.	pfam11735	GT	GDP-Man: alpha-1,3-mannosyltransferase (EC 2.4.1.-)
GT68	Distantly related to families GT65, GT23, GT11; created after reading Martinez-Dunker et al. (2003) Glycobiology 13:1C-5C	pfam10250	GT	GDP-Fuc: protein O-alpha-fucosyltransferase (EC 2.4.1.-)
GT65	Distantly related to families GT68, GT23, GT11	pfam10250	GT	GDP-Fuc: protein O-alpha-fucosyltransferase (EC 2.4.1.-)
GT64	The long animal heparan synthases are made of two domains. The N-terminal domain, which adds b-1,4-GlcA residues, belongs to family GT47 while the C-terminal domain, which adds a-1,4-GlcNAc residues, belongs to family GT64. The plant homologs have a single domain.	pfam09258	GT	UDP-GlcNAc: heparan alpha-N-acetylhexosaminyltransferase (EC 2.4.1.224)
GT63	Exceptionally, this family was created with a single member whose 3-D structure and mechanism are well characterised	self-built	GT	UDP-Glc: DNA beta-glucosyltransferase (EC 2.4.1.27)
GT62		pfam03452	GT	alpha-1,2-mannosyltransferase (EC 2.4.1.-); alpha-1,6-mannosyltransferase (EC 2.4.1.-)
GT60		pfam11397	GT	UDP-GlcNAc: polypeptide alpha-N-acetylglucosaminyltransferase (EC 2.4.1.-); UDP-GlcNAc: hydroxyproline polypeptide alpha-N-acetylglucosaminyltransferase (EC 2.4.1.-)
GT59	These enzymes use dolichol-P-glucose as the sugar donor.	pfam04922	GT	Dol-P-Glc: Glc2Man9GlcNAc2-PP-Dol alpha-1,2-glucosyltransferase (EC 2.4.1.-)
GT58	These enzymes use dolichol-P-mannose as the sugar donor.	pfam05208	GT	Dol-P-Man: dolichol pyrophosphate-mannose alpha-1,3-mannosyltransferase (EC 2.4.1.130); Dol-P-Man: dolichol pyrophosphate-Man5GlcNAc2 alpha-1,2-mannosyltransferase (EC 2.4.1.130)
GT57	These enzymes use dolichol-P-glucose as the sugar donor.	pfam03155	GT	Dol-P-Glc: alpha-1,3-glucosyltransferase (EC 2.4.1.-)
GT56		pfam07429	GT	TDP-Fuc4NAc: lipid II Fuc4NAc transferase (EC 2.4.1.-)
GT55	Distantly related to family GT2	pfam09488	GT	GDP-Man: mannosyl-3-phosphoglycerate synthase (EC 2.4.1.217)
GT54		pfam04666	GT	UDP-GlcNAc: alpha-1,3-D-mannoside beta-1,4-N-acetylglucosaminyltransferase (EC 2.4.1.145)
GT53		pfam04602	GT	UDP-L-Ara: alpha-L-arabinosyltransferase (EC 2.4.2.-)
GT52		pfam07922	GT	alpha-2,3-sialyltransferase (EC 2.4.99.4); alpha-glucosyltransferase (EC 2.4.1.-)
GT50	These enzymes use dolichol-P-mannose as the sugar donor.	pfam05007	GT	Dol-P-Man alpha-1,4-mannosyltransferase (EC 2.4.1.-)
GT49		self-built	GT	beta-1,3-N-acetylglucosaminyltransferase (EC 2.4.1.-).
GT46	This family has been deleted until a convincing sufficient biochemical characterization is found for a member of this family	self-built	GT	Deleted
GT45		pfam00535	GT	alpha-N-acteylglucosaminyltransferase (EC 2.4.1.-)
GT44		pfam04488	GT	UDP-Glc: alpha-glucosyltransferase (EC 2.4.1.-); UDP-GlcNAc: alpha-N-acetylglucosaminyltransferase (EC 2.4.1.-).
GT43		pfam03360	GT	beta-glucuronyltransferase (EC 2.4.1.135); UDP-Xyl: xylan  beta-1,4-xylosyltransferase (EC 2.4.2.-)
GT42	These enzymes use CMP-beta-N-acetylneuraminate as the sugar donor	pfam06002	GT	CMP-NeuAc alpha-2,3-sialyltransferase (EC 2.4.99.-)
GT41		COG3914	GT	UDP-GlcNAc: peptide beta-N-acetylglucosaminyltransferase (EC 2.4.1.94)
GT40	These enzymes use UDP-galactofuranose as donor	cd04186	GT	beta-1,3-galactofuranosyltransferases (EC 2.4.1.-)
GT38	These enzymes use CMP-beta-N-acetylneuraminate as the sugar donor	pfam07388	GT	polysialyltransferase (EC 2.4.-.-)
GT37		pfam03254	GT	galactoside 2-L-fucosyltransferase (EC 2.4.1.69)
GT34		pfam05637	GT	UDP-Gal: galactomannan alpha-1,6-galactosyltransferase (EC 2.4.1.-); UDP-Xyl: xyloglucan alpha-1,6-xylosyltransferase (EC 2.4.2.39); alpha-1,2-galactosyltransferase (EC 2.4.1.-)
GT33		cd03816	GT	GDP-Man: chitobiosyldiphosphodolichol beta-mannosyltransferase (EC 2.4.1.142).
GT24	Distant similarity to family GT8	cd06432	GT	UDP-Glc: glycoprotein alpha-glucosyltransferase (EC 2.4.1.-).
GT23	Distantly related to families GT65, GT68, GT11	self-built	GT	N-acetyl-beta-D-glucosaminide alpha-1,6-L-fucosyltransferase (EC 2.4.1.68)
GT22	These enzymes use dolichol-P-mannose as the sugar donor.	pfam03901	GT	Dol-P-Man alpha-mannosyltransferase (EC 2.4.1.-)
GT21	Distant similarity to families GT2, GT12 and GT27	cd02520	GT	UDP-Glc: ceramide beta-glucosyltransferase (EC 2.4.1.80).
GT20		pfam00982	GT	alpha,alpha-trehalose-phosphate synthase [UDP-forming] (EC 2.4.1.15)
GT19		pfam02684	GT	lipid-A-disaccharide synthase (EC 2.4.1.182).
GT18		self-built	GT	alpha-1,3(6)-mannosylglycoprotein beta-1,6-N-acetyl-glucosaminyltransferase (EC 2.4.1.155).
GT17		pfam04724	GT	beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase (EC 2.4.1.144).
GT16		pfam05060	GT	alpha-1,6-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase (EC 2.4.1.143).
GT15		pfam01793	GT	glycolipid 2-alpha-mannosyltransferase (EC 2.4.1.131); GDP-Man: alpha-1,2-mannosyltransferase (EC 2.4.1.-).
GT12	Distant similarity to families GT2, GT21 and GT27	pfam00535	GT	[N-acetylneuraminyl]-galactosylglucosylceramide N-acetylgalactosaminyltransferase (EC 2.4.1.92).
GH99	Created after Spiro, Bhoyroo and Spiro (1997) J. Biol. Chem. 272, 29356-29363	self-built	GH	glycoprotein endo-alpha-1,2-mannosidase (EC 3.2.1.130)
GH98	Created after Anderson et al. (J. Biol. Chem. 2005 280: 7720-7728; PMID:15618227)	pfam08306	GH	endo-beta-galactosidase (EC 3.2.1.-)
GH97	Created based on a paper by Hughes et al. (2003) Oral Microbiol Immunol. 18:309-312 (PMID: 12930523); *Mechanistic and structural elucidation by Gloster et al. (2008) Chem. Biol., Oct 8 (PMID:18848471); the inverting a-glucosidases (EC 3.2.1.20) could be renamed glucoamylases (EC 3.2.1.3 according to Kitamura et al. (2008) J. Biol. Chem., Nov 3 (PMID:18981178)	pfam10566	GH	alpha-glucosidase (EC 3.2.1.20); alpha-galactosidase (EC 3.2.1.22)
GH96		self-built	GH	alpha-agarase (EC 3.2.1.158)
GH95	Created based on a paper by Katayama, Sakuma, Kimura, Makimura, Hiratake, Sakata, Yamanoi, Kumagai, and Yamamoto (J. Bacteriol. 2004 Aug;186(15):4885-4893)	self-built	GH	alpha-1,2-L-fucosidase (EC 3.2.1.63); alpha-L-fucosidase (EC 3.2.1.51)
GH94	Formerly known as glycosyltransferase family GT36; Assigned to a GH family following a paper by Hidaka, Honda, Kitaoka, Nirasawa, Hayashi, Wakagi, Shoun and Fushinobu (Structure (Camb). 2004 Jun;12(6):937-947) (PMID: 15274915) that revealed the evolutionary, structural and mechanistic relationship of these phosphorylases with glycoside hydrolases of clan GH-L.	COG3459	GH	cellobiose phosphorylase (EC 2.4.1.20);  cellodextrin phosphorylase (EC 2.4.1.49);  chitobiose phosphorylase (EC 2.4.1.-); cyclic beta-1,2-glucan synthase (EC 2.4.1.-)
GH93		self-built	GH	exo-alpha-L-1,5-arabinanase (EC 3.2.1.-)
GH91	Was temporarily changed into PL19 until it was recently realized that these "PLs" are analogous to GH23 SLTs/lysozymes (there is at least one hydrolase in the GH91 family) and therefore are better classified in the GH category. See CAZypedia (below) for more.	self-built	GH	inulin lyase [DFA-I-forming] (EC 4.2.2.17); inulin lyase [DFA-III-forming] (EC 4.2.2.18); dIota;-fructofuranose 1,2':2,3' dianhydride hydrolase [DFA-IIIase] (EC 3.2.1.-)
GH90		pfam09251	GH	endorhamnosidase (EC 3.2.1.-)
GH9	formerly known as cellulase family E.	pfam00759	GH	endoglucanase (EC 3.2.1.4); cellobiohydrolase (EC 3.2.1.91); beta-glucosidase (EC 3.2.1.21); exo-beta-glucosaminidase (EC 3.2.1.165)
GH89		pfam05089	GH	alpha-N-acetylglucosaminidase (EC 3.2.1.50)
GH88		pfam07470	GH	d-4,5 unsaturated beta-glucuronyl hydrolase (EC 3.2.1.-)
GH87		self-built	GH	mycodextranase (EC 3.2.1.61); alpha-1,3-glucanase (EC 3.2.1.59)
GH86		self-built	GH	beta-agarase (EC 3.2.1.81)
GH85		pfam03644	GH	endo-beta-N-acetylglucosaminidase (EC 3.2.1.96)
GH84	Mechanism shown in Macauley et al. (2005) JBC 280:25313-25322	pfam07555	GH	N-acetyl beta-glucosaminidase (EC 3.2.1.52); hyaluronidase (EC 3.2.1.35)
GH82		COG5434	GH	Iota;-carrageenase (EC 3.2.1.157)
GH81		pfam03639	GH	endo-beta-1,3-glucanase (EC 3.2.1.39)
GH80		cd00978	GH	chitosanase (EC 3.2.1.132)
GH78		pfam05592	GH	alpha-L-rhamnosidase (EC 3.2.1.40)
GH76		pfam03663	GH	alpha-1,6-mannanase (EC 3.2.1.101)
GH75		pfam07335	GH	chitosanase (EC 3.2.1.132)
GH72		pfam03198	GH	beta-1,3-glucanosyltransglycosylase (EC 2.4.1.-)
GH71		pfam03659	GH	alpha-1,3-glucanase (EC 3.2.1.59).
GH70		pfam02324	GH	dextransucrase (EC 2.4.1.5); alternansucrase (EC 2.4.1.140); reuteransucrase (EC 2.4.1.-); alpha-4,6-glucanotransferase (EC 2.4.1.-)
GH7	formerly known as cellulase family C. The cellobiohydrolases of this family act processively from the reducing ends of cellulose chains to generate cellobiose. This is markedly different from the IUBMB definition of cellobiohydrolases (EC 3.2.1.91), which act from the non-reducing ends of cellulose.	pfam00840	GH	endo-beta-1,4-glucanase (EC 3.2.1.4); [reducing end-acting] cellobiohydrolase (EC 3.2.1.-); chitosanase (EC 3.2.1.132); endo-beta-1,3-1,4-glucanase (EC 3.2.1.73)
GH68		pfam02435	GH	levansucrase (EC 2.4.1.10); beta-fructofuranosidase (EC 3.2.1.26); inulosucrase (EC 2.4.1.9).
GH67		COG3661	GH	alpha-glucuronidase (EC 3.2.1.139); xylan alpha-1,2-glucuronidase (EC 3.2.1.131)
GH66		self-built	GH	cycloisomaltooligosaccharide glucanotransferase (EC 2.4.1.-); dextranase (EC 3.2.1.11).
GH64		self-built	GH	beta-1,3-glucanase (EC 3.2.1.39).
GH62		pfam03664	GH	alpha-L-arabinofuranosidase (EC 3.2.1.55)
GH61	The enzymes in this family were originally classified as a glycoside hydrolase family based on measurement of very weak endo-1,4-b-D-glucanase activity in one family member. The structure and mode of action of these enzymes are certainly non-canonical and they cannot be considered as bona fide glycosidases. However, they are kept in the CAZy classification on the basis of their capacity to enhance the breakdown of lignocellulose when used in conjunction with a cellulase or a mixture of cellulases.	pfam03443	GH	endoglucanase (EC 3.2.1.4)
GH59		pfam02057	GH	galactocerebrosidase (EC 3.2.1.46)
GH58		pfam12217	GH	endo-N-acetylneuraminidase or endo-sialidase (EC 3.2.1.129)
GH57		pfam03065	GH	alpha-amylase (EC 3.2.1.1); 4-alpha-glucanotransferase (EC 2.4.1.25); alpha-galactosidase (EC 3.2.1.22); amylopullulanase (EC 3.2.1.41); branching enzyme (EC 2.4.1.18)
GH53		pfam07745	GH	endo-beta-1,4-galactanase (EC 3.2.1.89).
GH52		pfam03512	GH	beta-xylosidase (EC 3.2.1.37).
GH49		pfam03718	GH	dextranase (EC 3.2.1.11); isopullulanase (EC 3.2.1.57); dextran 1,6-alpha-isomaltotriosidase (EC 3.2.1.95).
GH48	formerly known as cellulase family L. Some cellobiohydrolases of this family have been reported to act from the reducing ends of cellulose (EC 3.2.1.-), while others have been reported to operate from the non-reducing ends to liberate cellobiose or cellotriose or cellotetraose (EC 3.2.1.-). This family also contains endo-processive cellulases (EC 3.2.1.-), whose activity is hard to distinguish from that of cellobiohydrolases.	pfam02011	GH	endoglucanase (EC 3.2.1.4); chitinase (EC 3.2.1.14); cellobiohydrolase (EC 3.2.1.91); endo-processive cellulases (EC 3.2.1.-); [reducing end] cellobiohydrolase (3.2.1.-)
GH47		pfam01532	GH	alpha-mannosidase (EC 3.2.1.113)
GH46		cd00978	GH	chitosanase (EC 3.2.1.132)
GH44	formerly known as cellulase family J. Note that the stereochemistry of the reaction has recently been corrected : Kitago et al., J. Biol. Chem. 282(2007)35703-11 (PMID: 17905739)	self-built	GH	endoglucanase (EC 3.2.1.4); xyloglucanase (EC 3.2.1.151)
GH39		self-built	GH	alpha-L-iduronidase (EC 3.2.1.76); beta-xylosidase (EC 3.2.1.37).
GH37		pfam01204	GH	alpha,alpha-trehalase (EC 3.2.1.28).
GH30	Following a recent paper by St John et al. (FEBS Letters, 2010, in press) several GH5 subfamilies have been reassigned to GH30. The subfamilies in GH30 are now indicated.	COG5520	GH	glucosylceramidase (EC 3.2.1.45); beta-1,6-glucanase (EC 3.2.1.75); beta-xylosidase (EC 3.2.1.37); beta-fucosidase (EC 3.2.1.38); beta-glucosidase (3.2.1.21); endo-beta-1,6-galactanase (EC:3.2.1.164)
GH24		cd00737	GH	lysozyme (EC 3.2.1.17)
GH14		pfam01373	GH	beta-amylase (EC 3.2.1.2)
GH125	Created after Gregg, Zandberg, Hehemann, Whitworth, Deng, Vocadlo  Boraston (2011) J. Biol. Chem., in press	pfam06824	GH	exo-alpha-1,6-mannosidase (EC 3.2.1.-)
GH124	Created after Bras et al. (2011) Proc.Natl.Acad.Sci.USA; distantly related to lytic transglycosylases of family GH23	GH124	GH	endoglucanase (EC 3.2.1.4)
GH123	Created after Sumida T, Fujimoto K, Ito M. (2011) J Biol Chem. in press [PMID: 21297160]	self-built	GH	glycosphingolipid beta-N-acetylgalactosaminidase (EC 3.2.1.-)
GH122	Created after Confort et al. (2008) Appl Environ Microbiol. 74(4):1281-3 PMID:18156337	COG4697	GH	alpha-glucosidase (EC 3.2.1.20)
GH121	Created after Fujita et al. (2010) JBC, in press, PMID:21149454	self-built	GH	beta-L-arabinobiosidase (EC 3.2.1.-)
GH120	created after Shao W, Xue Y, Wu A, Kataeva I, Pei J, Wu H, Wiegel J (2010) Characterization of a novel beta-xylosidase XylC from Thermoanaerobacterium saccharolyticum JW/SL-YS485, Appl. Environ. Microbiol. (in press)	pfam07602	GH	beta-xylosidase (EC 3.2.1.37)
GH119	Distantly related to family GH57; created after Watanabe H, Nishimoto T, Kubota M, Chaen H, Fukuda S. (2006) Biosci Biotechnol Biochem. 2006 Nov;70(11):2690-702 [PMID - 17090949]	self-built	GH	alpha-amylase (EC 3.2.1.1)
GH118		self-built	GH	beta-agarase (EC 3.2.1.81)
GH117	Distantly related to family GH43	pfam04616	GH	alpha-1,3-L-neoagarooligosaccharide hydrolase (EC 3.2.1.-); alpha-1,3-L-neoagarobiase / neoagarobiose hydrolase (EC 3.2.1.-)
GH116		pfam04685	GH	acid beta-glucosidase (EC 3.2.1.45); beta-glucosidase (EC 3.2.1.21); beta-xylosidase (EC 3.2.1.37)
GH115	created from reading Ryabova et al. (2009) FEBS Lett. in press	self-built	GH	xylan alpha-1,2-glucuronidase (3.2.1.131); alpha-(4-O-methyl)-glucuronidase (3.2.1.-)
GH114	Activity shown in Tamura et al. (1995) Journal of Fermentation and Bioengineering 80:305-310 doi:10.1016/0922-338X(95)94196-X	pfam03537	GH	endo-alpha-1,4-polygalactosaminidase (EC 3.2.1.109)
GH113	Created based on Zhang et al. (2008) J. Biol. Chem. 283, 31551-31558 (PMID:18755688)	self-built	GH	beta-mannanase (EC 3.2.1.78)
GH112		pfam09508	GH	lacto-N-biose phosphorylase or galacto-N-biose phosphorylase (EC 2.4.1.211); D-galactosyl-1,4-L-rhamnose phosphorylase (EC 2.4.1.-)
GH111		self-built	GH	keratan sulfate hydrolase (endo-beta-N-acetylglucosaminidase) (EC 3.2.1.-)
GH110	Created following Liu et al. (2007) Nature Biotechnol 25:454-64 (PMID: 17401360); mechanism described by Liu et al. (PMID: 18227066)	self-built	GH	alpha-galactosidase (EC 3.2.1.22); alpha-1,3-galactosidase (EC 3.2.1.-)
GH109	Created following Liu et al. (2007) Nature Biotechnol 25:454-64 (PMID: 17401360); the enzymes in this family display an unusual mechanism involving NAD+	pfam01408	GH	alpha-N-acetylgalactosaminidase (EC 3.2.1.49)
GH107	Created after Colin et al. (2006) Glycobiology 16, 1021-1032	self-built	GH	sulfated fucan endo-1,4-fucanase (EC 3.2.1.-)
GH106	Created after reading Miyata et al (2005) Curr Microbiol. 51:105-109	self-built	GH	alpha-L-rhamnosidase (EC 3.2.1.40)
GH105	Created based on a paper by Itoh, Ochiai, Mikami, Hashimoto, and Murata (J. Mol. Biol. 360 (2006) 573-585) (PMID: 16781735)	pfam07470	GH	unsaturated rhamnogalacturonyl hydrolase (EC 3.2.1.-)
GH104	Corresponds to family 4 of the peptidoglycan lytic transglycosylases described by N.T. Blackburn and A.J. Clarke (2001) J. Mol. Evol. 52, 78-84	cd00736	GH	peptidoglycan lytic transglycosylase (EC 3.2.1.-)
GH103	Corresponds to family 3 of the peptidoglycan lytic transglycosylases described by N.T. Blackburn and A.J. Clarke (2001) J. Mol. Evol. 52, 78-84	TIGR02283	GH	peptidoglycan lytic transglycosylase (EC 3.2.1.-)
GH101	Created after Fujita et al. (2005) J. Biol. Chem. 280:37415-37422 (PMID: 16141207); catalytic residue determination : Willis et al. (2009) Biochemistry 48:10334-41 (PMID: 19788271)	self-built	GH	endo-alpha-N-acetylgalactosaminidase (EC 3.2.1.97)
GH100	Created from Gallagher and Pollock (1998) J Exp Bot 322:789-795 and Sturm et al. (1999) Physiol Plantarum 107:159-165	pfam04853	GH	alkaline and neutral invertase (EC 3.2.1.26)
CE8		pfam01095	CE	pectin methylesterase (EC 3.1.1.11).
CE7		pfam05448	CE	acetyl xylan esterase (EC 3.1.1.72); cephalosporin-C deacetylase (EC 3.1.1.41).
